"Support","Confidence","Accuracy_train","Accuracy_test","NumberOfRules"
0.01,0.01,0.848571428571429,0.693333333333333,28772
0.01,0.02,0.848571428571429,0.693333333333333,28772
0.01,0.03,0.848571428571429,0.693333333333333,28772
0.01,0.04,0.848571428571429,0.693333333333333,28772
0.01,0.05,0.848571428571429,0.693333333333333,28772
0.01,0.06,0.848571428571429,0.693333333333333,28772
0.01,0.07,0.848571428571429,0.693333333333333,28772
0.01,0.08,0.848571428571429,0.693333333333333,28772
0.01,0.09,0.848571428571429,0.693333333333333,28772
0.01,0.1,0.848571428571429,0.693333333333333,28772
0.02,0.01,0.802857142857143,0.686666666666667,13198
0.02,0.02,0.802857142857143,0.686666666666667,13198
0.02,0.03,0.802857142857143,0.686666666666667,13198
0.02,0.04,0.802857142857143,0.686666666666667,13198
0.02,0.05,0.802857142857143,0.686666666666667,13198
0.02,0.06,0.802857142857143,0.686666666666667,13198
0.02,0.07,0.802857142857143,0.686666666666667,13198
0.02,0.08,0.802857142857143,0.686666666666667,13198
0.02,0.09,0.802857142857143,0.686666666666667,13198
0.02,0.1,0.802857142857143,0.686666666666667,13198
0.03,0.01,0.774285714285714,0.696666666666667,7814
0.03,0.02,0.774285714285714,0.696666666666667,7814
0.03,0.03,0.774285714285714,0.696666666666667,7814
0.03,0.04,0.774285714285714,0.696666666666667,7814
0.03,0.05,0.774285714285714,0.696666666666667,7814
0.03,0.06,0.774285714285714,0.696666666666667,7814
0.03,0.07,0.774285714285714,0.696666666666667,7814
0.03,0.08,0.774285714285714,0.696666666666667,7814
0.03,0.09,0.774285714285714,0.696666666666667,7814
0.03,0.1,0.774285714285714,0.696666666666667,7814
0.04,0.01,0.758571428571429,0.693333333333333,5260
0.04,0.02,0.758571428571429,0.693333333333333,5260
0.04,0.03,0.758571428571429,0.693333333333333,5260
0.04,0.04,0.758571428571429,0.693333333333333,5260
0.04,0.05,0.758571428571429,0.693333333333333,5260
0.04,0.06,0.758571428571429,0.693333333333333,5260
0.04,0.07,0.758571428571429,0.693333333333333,5260
0.04,0.08,0.758571428571429,0.693333333333333,5260
0.04,0.09,0.758571428571429,0.693333333333333,5260
0.04,0.1,0.758571428571429,0.693333333333333,5260
0.05,0.01,0.74,0.686666666666667,3828
0.05,0.02,0.74,0.686666666666667,3828
0.05,0.03,0.74,0.686666666666667,3828
0.05,0.04,0.74,0.686666666666667,3828
0.05,0.05,0.74,0.686666666666667,3828
0.05,0.06,0.74,0.686666666666667,3828
0.05,0.07,0.74,0.686666666666667,3828
0.05,0.08,0.74,0.686666666666667,3828
0.05,0.09,0.74,0.686666666666667,3828
0.05,0.1,0.74,0.686666666666667,3828
0.06,0.01,0.73,0.686666666666667,2846
0.06,0.02,0.73,0.686666666666667,2846
0.06,0.03,0.73,0.686666666666667,2846
0.06,0.04,0.73,0.686666666666667,2846
0.06,0.05,0.73,0.686666666666667,2846
0.06,0.06,0.73,0.686666666666667,2846
0.06,0.07,0.73,0.686666666666667,2846
0.06,0.08,0.73,0.686666666666667,2846
0.06,0.09,0.73,0.686666666666667,2846
0.06,0.1,0.73,0.686666666666667,2846
0.07,0.01,0.724285714285714,0.666666666666667,2230
0.07,0.02,0.724285714285714,0.666666666666667,2230
0.07,0.03,0.724285714285714,0.666666666666667,2230
0.07,0.04,0.724285714285714,0.666666666666667,2230
0.07,0.05,0.724285714285714,0.666666666666667,2230
0.07,0.06,0.721428571428571,0.666666666666667,2230
0.07,0.07,0.724285714285714,0.666666666666667,2230
0.07,0.08,0.724285714285714,0.666666666666667,2230
0.07,0.09,0.724285714285714,0.666666666666667,2230
0.07,0.1,0.724285714285714,0.666666666666667,2230
0.08,0.01,0.72,0.68,1792
0.08,0.02,0.72,0.68,1792
0.08,0.03,0.72,0.68,1792
0.08,0.04,0.72,0.68,1792
0.08,0.05,0.724285714285714,0.68,1792
0.08,0.06,0.72,0.68,1792
0.08,0.07,0.72,0.68,1792
0.08,0.08,0.721428571428571,0.68,1792
0.08,0.09,0.72,0.68,1792
0.08,0.1,0.721428571428571,0.68,1792
0.09,0.01,0.724285714285714,0.69,1451
0.09,0.02,0.728571428571429,0.69,1451
0.09,0.03,0.722857142857143,0.69,1451
0.09,0.04,0.724285714285714,0.69,1451
0.09,0.05,0.724285714285714,0.69,1451
0.09,0.06,0.724285714285714,0.69,1451
0.09,0.07,0.724285714285714,0.69,1451
0.09,0.08,0.724285714285714,0.69,1451
0.09,0.09,0.722857142857143,0.69,1451
0.09,0.1,0.722857142857143,0.69,1451
0.1,0.01,0.715714285714286,0.67,1202
0.1,0.02,0.715714285714286,0.67,1202
0.1,0.03,0.715714285714286,0.67,1202
0.1,0.04,0.715714285714286,0.67,1202
0.1,0.05,0.715714285714286,0.67,1202
0.1,0.06,0.715714285714286,0.67,1202
0.1,0.07,0.714285714285714,0.67,1202
0.1,0.08,0.715714285714286,0.67,1202
0.1,0.09,0.715714285714286,0.67,1202
0.1,0.1,0.715714285714286,0.67,1202
